model,target,mae,rmse,r2
random_forest,compressive_strength_mpa,4.956491190451134,6.927033820462244,0.6262640027037076
random_forest,splitting_tensile_strength_mpa,0.2235967942570534,0.271786950047672,0.5634095111138572
random_forest,porosity_pct,1.2812841302910034,1.595071457586846,0.4761051790650547
random_forest,electrical_resistivity_kohm_cm,9.908197897100976,11.332549439847364,0.4052730237110732
random_forest,water_absorption_pct,0.8264570069745076,1.0606470070120273,0.34732261004256904
random_forest,co2_emission_kg_m3,5.168263377425063,6.547629027807457,0.9707637109787242
gradient_boosting,compressive_strength_mpa,3.2209027190207444,4.046339333100248,0.8724751224351328
gradient_boosting,splitting_tensile_strength_mpa,0.17504223492890789,0.22419364147759582,0.7029266782298149
gradient_boosting,porosity_pct,0.806148159398578,1.0073449623431838,0.7910510200181278
gradient_boosting,electrical_resistivity_kohm_cm,5.308372999423822,6.662195409906807,0.7944596332318342
gradient_boosting,water_absorption_pct,0.5258425659074609,0.6520860850585386,0.7533013958260938
gradient_boosting,co2_emission_kg_m3,4.894101869419629,5.9679484776058365,0.975711301384263
support_vector_regression,compressive_strength_mpa,3.461856903049913,4.289307692375275,0.8567004862793312
support_vector_regression,splitting_tensile_strength_mpa,0.18038910816878656,0.236712906878107,0.6688224053224743
support_vector_regression,porosity_pct,0.826135647530164,0.9997570128958412,0.7941870317938764
support_vector_regression,electrical_resistivity_kohm_cm,4.842382818174602,6.104433539123554,0.8274348342434246
support_vector_regression,water_absorption_pct,0.4879719607453789,0.6095502564978397,0.7844361838936125
support_vector_regression,co2_emission_kg_m3,8.176098660441989,10.477710283255972,0.925133610887877
gaussian_process_regression,compressive_strength_mpa,7.648170854163459,9.657395935217668,0.27357565914271587
gaussian_process_regression,splitting_tensile_strength_mpa,0.30060586273081463,0.366051994484725,0.2080411337782534
gaussian_process_regression,porosity_pct,1.600353950292885,1.9413231197733334,0.22396828396757495
gaussian_process_regression,electrical_resistivity_kohm_cm,10.895997578124017,12.76854796305172,0.24500266663726566
gaussian_process_regression,water_absorption_pct,0.9501630647080046,1.1634057876640715,0.2147295293737833
gaussian_process_regression,co2_emission_kg_m3,26.11364574227934,32.85429993551054,0.2638970622979311
